ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,57,54,11,36,2003-07
2,57,54,11,36,2003-10
3,57,54,11,36,2004-01
4,57,54,11,36,2004-04
5,57,54,11,36,2004-07
6,57,54,11,36,2004-10
7,44,48,9,34,2003-04
8,53,56,11,36,2006-01
9,57,54,11,36,2005-01
10,53,56,11,36,2005-04
11,53,56,11,36,2005-07
12,53,56,11,36,2005-10
13,53,56,11,36,2006-04
14,53,56,11,36,2008-04
15,53,56,11,36,2008-07
16,53,56,11,36,2008-10
17,53,56,11,36,2006-07
18,53,56,11,36,2006-10
19,53,56,11,36,2007-01
20,53,56,11,36,2007-04
21,53,56,11,36,2007-07
22,53,56,11,36,2007-10
23,53,56,11,36,2008-01
