ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,19,37,9,40,2003-07
2,19,37,9,40,2003-10
3,19,37,9,40,2004-01
4,19,37,9,40,2004-04
5,19,37,9,40,2004-07
6,19,37,9,40,2004-10
7,19,37,9,40,2003-04
8,19,37,9,40,2006-01
9,19,37,9,40,2005-01
10,19,37,9,40,2005-04
11,19,37,9,40,2005-07
12,19,37,9,40,2005-10
13,19,37,9,40,2006-04
14,19,37,9,40,2008-04
15,19,37,9,40,2008-07
16,19,37,9,40,2008-10
17,19,37,9,40,2006-07
18,19,37,9,40,2006-10
19,19,37,9,40,2007-01
20,19,37,9,40,2007-04
21,19,37,9,40,2007-07
22,19,37,9,40,2007-10
23,19,37,9,40,2008-01
